,Title,Published_date,views,like,comments,Month
0,ZOMBIE - The Living Dead | EP-02,2022-12-31,40205352,3550872,199939,Dec
1,EPL Season 2 | Round2Hell | R2H,2022-05-31,59985242,3961111,159816,May
2,AGE OF WATER | Round2Hell | R2H,2022-01-27,56671065,3875479,207888,Jan
3,1959 | Round2Hell | R2H,2021-08-30,81376585,5229864,379258,Aug
4,ZOMBIE | The Living Dead | Round2Hell | R2H,2021-04-07,83071304,5785157,251895,Apr
5,DECODE OR DIE | D.O.D | Round2hell | R2h,2021-01-07,71216947,2818161,129004,Jan
6,EPL | Season 1 | Round2hell | R2H,2020-11-09,96439504,3449693,102882,Nov
7,GAME OF GREED | Round2hell | R2h,2020-09-27,53610106,3107214,99963,Sep
8,FINDING DIAMOND | Round2hell | R2h,2020-07-29,47650383,2839273,101389,Jul
9,THE TIME FREEZE | ROUND2HELL | R2H,2020-03-27,59643900,2329270,88883,Mar
10,DIRTY POLITICS Part-2 | Round2Hell | R2H,2020-01-15,42817942,1609884,66664,Jan
11,#AskR2H | Episode 2 | Qna | Round2hell | R2h,2019-11-29,18367471,1198187,51704,Nov
12,DUMB BLIND DEAF Part-3 | Round2hell | R2H,2019-10-16,75828354,2682919,96840,Oct
13,HIDE & SEEK | Round2hell | R2H,2019-09-14,62068297,2109475,57456,Sep
14,THE HORROR HOUSE | Round2hell | R2H,2019-08-08,59561372,2567978,80761,Aug
15,SCHOOL LIFE  PART-3 | Round2hell | R2h,2019-06-17,76742392,2621507,79863,Jun
16,HUMANITY | Short Film | Round2hell | R2h,2019-05-27,41386502,2530435,235629,May
17,SHOLAY | Round2hell | R2h,2019-04-09,78878292,2597395,72324,Apr
18,PUBG | ROUND2HELL | R2H,2019-02-02,76344004,2522763,86567,Feb
19,DUMB BLIND DEAF Part-2 | ROUND2HELL | R2H,2018-12-18,76559842,2443631,103196,Dec
20,ALADDIN | Round2hell | R2h,2018-11-03,111601325,3096899,107936,Nov
21,DIRTY POLITICS | ROUND2HELL | R2H,2018-09-23,64002891,1788617,55357,Sep
22,#AskR2H | Episode 1 | QnA | Round2hell | R2h,2018-09-04,14753786,888781,47964,Sep
23,THE BAD LUCK | Round2hell | R2h,2018-07-09,43640809,1474448,42336,Jul
24,PARALLEL WORLD PART 3 | Round2hell | R2h,2018-06-17,47627287,1387745,34052,Jun
25,SCHOOL LIFE PART-2 | Round2hell | R2h,2018-06-02,104581329,3184324,70132,Jun
26,THE TIME MACHINE | Round2hell | R2h,2018-05-09,38586226,1341934,56778,May
27,THE FOUL PLAY | ROUND2HELL | R2H,2018-04-22,53834260,1802075,33957,Apr
28,DUMB BLIND DEAF | Round2hell | R2H,2018-04-13,92583484,2431274,43892,Apr
29,SCHOOL LIFE | Round2hell | R2h,2018-03-09,61811505,2205709,48409,Mar
30,PARALLEL WORLD Part-2 | Round2hell | R2h,2018-02-26,51656307,1457909,23231,Feb
31,VALENTINE DAY | Round2hell | R2h,2018-02-14,42893823,1293880,23901,Feb
32,GYMMER NOWADAYS | Round2hell | R2h,2018-01-27,38649919,1313755,19661,Jan
33,MIT COLLEGE EVENT | Round2hell | R2h,2018-01-22,10919763,563695,10698,Jan
34,PARALLEL WORLD | Round2hell | R2h,2018-01-15,87472024,1712483,23634,Jan
35,GULLY CRICKET | Round2hell |R2H,2017-12-24,50619378,1282211,22468,Dec
36,THREE BACHELORS | Round2hell | R2H,2017-12-09,40208533,1408763,29796,Dec
37,KBC Spoof | Round2Hell | R2H,2017-11-15,62148538,1886798,32998,Nov
38,REALITY OF SHOWOFF PEOPLE | Round2Hell | R2H,2017-10-21,51099677,1288835,17359,Oct
39,THIS DIWALI BE CAREFUL | Round2Hell | R2H,2017-10-14,25864268,855111,13706,Oct
40,THE CHAINSMOKERS | Round2hell | R2H,2017-10-07,67853332,1575650,15737,Oct
41,Every Group of Three Friends | Round2Hell | R2H,2017-08-24,47241988,1224169,14110,Aug
42,CID Parody | A Mastermind Kidnapper | Round2Hell | R2H,2017-08-12,35147312,938931,11866,Aug
43,Story of Three Engineer | Round2Hell | R2H,2017-07-24,38044203,1087696,13272,Jul
44,Facebook Wala Love | Round2Hell | R2H,2017-07-10,48745062,1256854,15435,Jul
45,Mauka Mauka | India vs Pakistan Final Champions Trophy 2017 | Round2Hell | R2H,2017-06-18,41090752,1041542,13304,Jun
46,Mauka Mauka | India vs Pakistan | Champions Trophy | Round2Hell | R2H,2017-06-04,45960684,1373085,25417,Jun
47,DESI WEDDING (Revenge Gone Wrong) | Round2Hell | R2H,2017-05-21,39100420,1236118,25379,May
48,CRIME PATROL (Spoof) | ROUND2HELL | R2H,2017-05-10,46123180,1467364,21469,May
49,News Debate on TUBELIGHT | Round2Hell | R2H,2017-04-28,11231401,431241,7451,Apr
50,IPL Satta Scam Feat Anti-Romeo Squad | Round2Hell | R2H,2017-04-10,16884268,636504,21333,Apr
51,Jio Users Before vs After 31st March | Round2Hell | R2H,2017-03-30,18327142,750127,7197,Mar
52,KON BANEGA GAREEBPATI (KBG) | Round2Hell | R2H,2017-03-18,9577404,407084,6427,Mar
53,That Friend who is Beaten up for no Reason | Round2Hell | R2H,2017-03-11,19946387,623092,5888,Mar
54,Indians After Buying an iPhone | Round2Hell | R2H,2017-03-02,26259391,630119,5684,Mar
55,Engineer ka Interview | Round2Hell | R2H,2017-02-11,20906767,732576,6133,Feb
56,Future Courts Be Like.. | Round2Hell | R2H,2017-02-03,14285965,631296,6706,Feb
57,FACEBOOK LIVE | EXPECTATION VS REALITY | ROUND2HELL | R2H,2017-01-28,3394487,208598,1851,Jan
58,Single friends Be like | Round2hell | R2H,2017-01-19,5672046,266143,1920,Jan
59,Gym workout in USA vs india | Round2hell | R2H,2017-01-13,13517394,450956,3055,Jan
60,PARTY DE | Round2hell | R2H,2017-01-07,7291867,327424,2796,Jan
61,Happy New Year 2017 | Round2hell | R2H,2017-01-01,4972767,206367,2391,Jan
62,Never trust your best friend | Round2hell | R2H,2016-12-26,10495142,404937,3763,Dec
63,Round2hell Live Stream,2016-12-19,0,0,0,Dec
64,When you got a new DSLR | Round2hell | R2H,2016-12-17,5412293,292808,2141,Dec
65,Pagli caption troll Part-2 | Round2hell | R2H,2016-11-20,6411206,312266,3955,Nov
66,Pagli Caption Troll | Round2hell | R2h,2016-11-06,8940315,483696,4755,Nov
